LIMIT_BAL,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,PAY_AMT1,PAY_AMT2,PAY_AMT3,default.payment
60000,0,0,0,0,0,0,2500.0,1600.0,3000.0,1
20000,0,0,0,0,0,-1,1200.0,1593.0,601.0,0
100000,1,2,0,0,2,0,0.0,1600.0,1500.0,1
360000,1,-1,-1,-1,-1,-1,57087.0,5295.0,68454.0,0
200000,2,2,2,2,2,2,8214.0,7000.0,6800.0,1
130000,1,-1,0,0,0,0,5396.0,5000.0,3500.0,0
20000,1,5,4,4,3,2,0.0,1000.0,0.0,0
310000,0,0,0,0,0,0,10020.0,6031.0,10057.0,0
60000,2,0,0,0,2,0,1342.0,1664.0,2000.0,1
180000,-1,-1,-1,-2,-1,0,199.0,0.0,0.0,0
180000,-1,-1,2,0,0,-2,37867.0,0.0,200.0,0
50000,0,0,0,0,-1,-1,2000.0,1000.0,2000.0,0
50000,1,2,2,2,2,2,1900.0,1400.0,1700.0,1
150000,-2,-2,-2,-2,-2,-2,0.0,0.0,116.0,0
20000,0,0,0,0,-1,0,1500.0,1032.0,541.0,0
500000,-2,-2,-2,-1,-1,-1,138.0,2299.0,1251.0,0
30000,1,2,2,0,0,0,1000.0,85.0,1714.0,1
180000,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0
140000,0,0,2,0,0,2,25000.0,0.0,3000.0,0
140000,-1,0,-1,-1,-1,-1,10000.0,13001.0,5841.0,0
120000,0,0,0,0,0,0,5000.0,5000.0,4152.0,0
360000,0,0,0,0,0,0,9100.0,7300.0,5800.0,0
20000,-1,-1,0,0,0,0,22359.0,1305.0,1258.0,0
100000,-1,-1,-1,-1,-1,-1,1473.0,390.0,390.0,0
210000,-1,-1,-1,-1,-1,-1,1586.0,343.0,3763.0,1
80000,0,0,0,0,0,0,3200.0,3000.0,2038.0,1
330000,-1,-1,-1,-1,-2,-2,4345.0,2854.0,1702.0,0
220000,0,0,0,-1,-1,-1,5000.0,5050.0,8303.0,0
210000,1,-2,-1,0,-1,-1,0.0,250.0,0.0,1
40000,0,0,0,0,0,0,1700.0,1504.0,1200.0,0
30000,0,0,0,2,0,0,3036.0,2309.0,0.0,0
470000,2,2,2,2,0,0,13000.0,11001.0,0.0,0
30000,-1,-1,-1,-1,-1,2,390.0,390.0,240.0,0
240000,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,1
80000,2,0,0,0,0,0,3100.0,3500.0,3400.0,0
310000,-1,-1,-1,-1,-2,-2,4542.0,126.0,0.0,0
360000,2,2,2,0,0,0,12000.0,0.0,5900.0,1
330000,0,0,0,0,0,0,12388.0,12378.0,12116.0,0
300000,0,0,0,0,0,0,12019.0,9006.0,17000.0,0
320000,0,0,0,0,0,0,10042.0,18832.0,2117.0,0
50000,1,3,2,0,0,0,0.0,24.0,1500.0,1
170000,0,0,0,0,0,0,6530.0,4860.0,22500.0,0
350000,-1,-1,-1,-1,-1,-2,2686.0,1864.0,569.0,0
20000,0,0,0,0,0,0,1609.0,3000.0,663.0,0
50000,2,0,0,0,0,0,2401.0,2254.0,2004.0,1
20000,1,2,0,0,0,0,0.0,1333.0,500.0,0
50000,0,0,0,0,0,0,2090.0,2002.0,1002.0,0
20000,1,2,0,0,2,0,0.0,1200.0,1000.0,1
50000,0,0,-2,-1,-1,0,0.0,0.0,2624.0,0
190000,2,0,0,0,2,2,5000.0,5000.0,10000.0,1
60000,0,0,0,0,0,0,1506.0,1298.0,1000.0,0
80000,-1,-1,-1,-1,-1,-1,3983.0,6853.0,1719.0,0
150000,0,0,0,0,0,0,4500.0,1745.0,1566.0,0
210000,-2,-2,-2,-2,-1,-1,0.0,7422.0,893.0,0
240000,0,0,0,0,0,0,10116.0,9150.0,8008.0,1
140000,0,0,0,0,0,0,3000.0,2000.0,2198.0,1
60000,1,2,2,-2,-2,-1,0.0,0.0,0.0,0
50000,0,0,0,0,0,0,1800.0,2000.0,3000.0,0
50000,0,0,0,0,0,0,1800.0,1750.0,900.0,0
180000,-1,-1,2,2,-1,-1,2821.0,0.0,0.0,0
30000,-1,-1,2,2,2,2,355.0,120.0,0.0,0
20000,0,0,0,0,0,-2,1601.0,2203.0,2114.0,0
250000,0,-1,-1,-1,-1,-1,1631.0,1536.0,1010.0,0
100000,0,0,0,0,0,0,1788.0,1799.0,1100.0,0
330000,0,0,0,0,2,0,2504.0,4007.0,5056.0,0
50000,0,0,0,0,0,0,1561.0,1268.0,587.0,0
50000,1,2,2,0,0,0,1710.0,136.0,1206.0,0
30000,0,0,0,0,0,0,5006.0,1244.0,851.0,0
140000,0,0,0,0,0,0,5366.0,5087.0,3605.0,1
160000,0,0,0,0,-1,0,7042.0,2000.0,1000.0,0
400000,-1,0,-1,-1,-1,-1,3127.0,1469.0,4968.0,0
50000,0,0,0,0,0,0,1565.0,1393.0,980.0,0
140000,0,-1,-1,-1,-1,-1,1233.0,1075.0,1355.0,0
160000,-1,-1,-1,-1,0,-1,2453.0,9880.0,52572.0,0
100000,0,0,-2,-2,-2,-2,0.0,0.0,0.0,0
220000,2,0,0,0,0,0,10000.0,9020.0,6000.0,1
510000,0,0,0,0,0,0,40010.0,20094.0,5000.0,0
50000,0,0,0,0,0,0,1602.0,1400.0,3000.0,0
160000,-1,-1,-1,-1,2,-1,4664.0,5969.0,18941.0,0
230000,-2,-2,-2,-2,-2,-2,51315.0,0.0,0.0,0
80000,-1,-1,-1,-1,-1,-1,258.0,5995.0,188.0,0
150000,-1,-1,-2,-1,-1,-1,0.0,0.0,316.0,0
10000,0,0,0,0,0,2,1134.0,1298.0,478.0,0
130000,0,0,0,0,0,0,4100.0,3095.0,1630.0,1
40000,0,0,0,0,0,0,1600.0,1600.0,1500.0,0
50000,3,2,2,0,0,-1,1700.0,0.0,426.0,1
100000,0,0,0,0,0,0,2035.0,2004.0,616.0,0
120000,-1,2,-1,0,0,0,0.0,1350.0,0.0,0
260000,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,1
200000,0,0,0,0,0,0,2000.0,1322.0,2000.0,0
360000,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,1
70000,0,0,0,0,0,0,4483.0,12496.0,3268.0,0
460000,2,-1,-1,-1,-1,-1,2728.0,0.0,2654.0,1
50000,-1,-1,-1,-1,-1,-1,316.0,316.0,316.0,0
50000,0,0,0,0,0,0,2007.0,2199.0,691.0,0
250000,0,0,0,0,0,0,4000.0,4500.0,5000.0,0
30000,0,0,-1,0,0,-2,1000.0,664.0,1500.0,0
270000,0,0,0,0,-1,-1,10063.0,5162.0,10150.0,0
180000,0,0,0,0,0,0,7722.0,6091.0,3563.0,0
100000,0,0,0,0,0,0,4173.0,3000.0,2025.0,0
230000,0,0,0,0,0,0,5000.0,5000.0,5000.0,0
210000,-1,-1,-1,-1,-1,-1,41986.0,21874.0,20076.0,0
210000,2,0,0,0,0,0,3276.0,2026.0,2000.0,0
440000,0,0,0,0,0,0,8610.0,6907.0,3727.0,0
100000,2,0,0,0,0,0,3472.0,2092.0,2000.0,1
240000,0,0,0,0,0,0,1295.0,1000.0,1000.0,0
280000,-1,-1,-1,-1,-1,-1,898.0,325.0,898.0,1
50000,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,1
30000,3,2,2,2,2,2,1100.0,0.0,300.0,0
10000,0,0,2,0,0,0,3507.0,0.0,500.0,1
130000,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0
200000,0,0,0,0,0,0,9000.0,7465.0,4715.0,0
120000,-1,-1,-1,-1,-1,-1,657.0,2319.0,1423.0,0
210000,0,0,0,0,0,0,6483.0,5082.0,6000.0,0
280000,0,0,0,0,0,0,2755.0,3463.0,1300.0,0
300000,1,-2,-1,0,-1,-1,0.0,13001.0,0.0,1
100000,0,0,0,0,0,0,3490.0,2332.0,2314.0,0
440000,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0
50000,0,0,0,0,0,0,2400.0,1206.0,1000.0,0
20000,0,0,2,0,0,0,2800.0,0.0,4000.0,1
200000,-1,-1,-1,0,0,0,665.0,960.0,3908.0,0
110000,-2,-2,-2,-2,-2,-2,3220.0,5904.0,0.0,0
500000,-1,-1,-1,-1,-1,-1,23962.0,0.0,8500.0,0
300000,1,-1,-1,-2,-2,-2,5215.0,0.0,0.0,0
30000,2,2,2,3,3,4,1200.0,1200.0,2000.0,1
60000,-1,-1,-1,-1,-1,-1,13809.0,14583.0,4889.0,0
400000,-1,0,-1,-1,0,-1,1000.0,1354.0,5322.0,0
180000,0,0,0,0,0,0,7000.0,5000.0,5000.0,0
20000,0,0,0,2,0,0,3000.0,3100.0,0.0,0
200000,-1,2,2,2,0,0,0.0,6000.0,0.0,1
100000,0,0,0,0,0,0,1631.0,1286.0,200.0,0
60000,0,0,0,0,0,0,1970.0,2000.0,618.0,1
110000,0,0,0,0,0,0,2200.0,2500.0,2000.0,0
260000,1,-1,-1,-2,-2,-1,165.0,526.0,452.0,0
50000,3,2,2,0,0,0,3754.0,1.0,1070.0,0
180000,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0
110000,1,2,2,0,0,0,2500.0,0.0,2000.0,1
340000,0,0,0,0,0,0,21105.0,5461.0,5000.0,0
50000,-1,0,0,0,0,0,1070.0,1500.0,3666.0,0
230000,0,0,0,-2,-1,-1,1710.0,1100.0,1000.0,1
360000,0,0,0,0,0,0,10000.0,7000.0,10000.0,0
210000,1,-2,-1,0,0,0,0.0,38013.0,3000.0,0
220000,-1,2,2,-1,2,-1,325.0,0.0,950.0,1
60000,2,2,2,2,2,0,3800.0,0.0,3720.0,1
340000,-2,-1,-1,-2,-2,-2,44665.0,8321.0,2190.0,0
150000,2,2,2,2,2,2,5200.0,0.0,8100.0,0
200000,1,-1,2,-1,-1,-1,1000.0,0.0,6900.0,1
130000,0,0,2,0,0,0,3000.0,0.0,500.0,1
60000,1,2,0,0,0,0,0.0,1483.0,673.0,0
400000,1,-2,-2,-2,-1,-1,0.0,0.0,0.0,0
20000,0,0,0,0,0,0,1323.0,1600.0,830.0,0
190000,0,0,0,0,0,0,5795.0,7408.0,5645.0,0
260000,0,0,0,0,0,0,10000.0,8000.0,6000.0,0
140000,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0
50000,0,0,0,0,0,0,1974.0,4406.0,1061.0,1
120000,-1,-1,0,-1,-1,-1,6900.0,5037.0,1100.0,0
240000,-2,-2,-2,-2,-2,-2,92.0,92.0,0.0,0
50000,0,0,0,0,-1,0,1212.0,1200.0,0.0,0
200000,-1,2,-1,-1,-1,2,0.0,4872.0,20183.0,0
180000,0,0,-1,0,0,-1,11000.0,145000.0,26000.0,0
180000,0,0,0,0,0,0,5440.0,5051.0,3835.0,0
160000,-1,-1,-2,-1,0,0,0.0,0.0,5000.0,0
100000,-1,-1,-1,0,0,0,4210.0,4159.0,1000.0,0
50000,0,0,0,0,0,0,3000.0,2000.0,2000.0,1
140000,0,0,0,0,0,0,6600.0,6500.0,5100.0,0
30000,0,0,0,0,0,0,1411.0,1522.0,621.0,1
90000,0,0,-1,0,0,-1,1541.0,4200.0,0.0,0
200000,1,-2,-1,-1,-2,-1,10118.0,47015.0,0.0,0
380000,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,1
80000,0,0,0,0,0,0,3177.0,2600.0,3000.0,0
50000,2,2,2,0,0,2,3400.0,0.0,1000.0,0
180000,-1,0,0,0,0,0,1481.0,2000.0,1100.0,1
240000,0,0,0,0,0,0,6349.0,5834.0,3870.0,0
380000,0,0,0,0,0,0,9010.0,35000.0,5000.0,0
110000,0,0,0,0,0,0,3000.0,2900.0,2900.0,0
260000,-1,-1,-1,-1,-1,-1,291.0,51058.0,35696.0,0
500000,4,3,2,0,0,0,10000.0,0.0,14000.0,1
320000,0,0,0,0,0,0,2589.0,2568.0,2570.0,0
50000,4,3,2,0,0,0,0.0,0.0,1262.0,0
110000,1,-2,-1,0,-1,-1,0.0,2066.0,0.0,1
230000,-2,-2,-2,-2,-2,-2,300.0,399.0,665.0,0
330000,1,-1,-1,-2,-1,-1,1529.0,1507.0,0.0,0
50000,0,0,0,0,0,0,3000.0,2237.0,975.0,0
10000,-1,2,2,2,0,0,0.0,1500.0,0.0,0
300000,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0
20000,3,2,0,0,0,0,0.0,1168.0,384.0,1
180000,2,2,-2,-2,-2,-2,0.0,0.0,0.0,1
160000,-1,-1,-1,-1,-1,-1,2977.0,15086.0,9123.0,0
90000,0,0,0,2,2,2,1640.0,9000.0,0.0,0
30000,0,0,0,0,0,0,2500.0,2000.0,1500.0,0
180000,0,0,0,0,0,0,8100.0,5299.0,3305.0,0
30000,0,0,0,0,0,0,1640.0,1700.0,915.0,0
30000,1,2,0,0,0,2,0.0,1342.0,946.0,0
140000,-1,0,0,-1,-1,-1,14000.0,3855.0,4991.0,0
210000,0,0,0,0,0,0,3500.0,3000.0,2000.0,0
50000,0,0,0,0,0,0,2000.0,3000.0,327.0,1
130000,0,0,0,0,0,0,4200.0,2575.0,2600.0,0
50000,2,2,2,0,0,0,1500.0,400.0,200.0,1
140000,0,0,0,0,0,0,3000.0,30000.0,4000.0,0
170000,-1,0,0,2,0,0,1105.0,1903.0,0.0,1
80000,0,0,0,0,0,-2,10010.0,1209.0,579.0,0
410000,0,0,0,0,0,0,15000.0,14000.0,9000.0,0
80000,1,-1,-1,-2,-2,-2,80000.0,0.0,0.0,0
80000,-1,0,0,2,2,2,3500.0,4330.0,3500.0,1
150000,0,0,0,0,0,0,7900.0,6500.0,5700.0,0
260000,-1,-1,-1,0,0,-1,291.0,582.0,0.0,1
350000,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0
280000,1,-1,0,0,0,0,38621.0,2000.0,1130.0,1
310000,0,0,0,0,0,0,4400.0,4013.0,3011.0,0
140000,0,0,0,0,0,0,3000.0,3000.0,3000.0,0
360000,-1,-1,-1,-2,-2,-2,25000.0,0.0,0.0,0
140000,0,0,0,0,0,0,10000.0,10000.0,6000.0,0
100000,0,0,0,0,0,0,2502.0,1200.0,860.0,0
50000,-2,-2,-2,-2,-2,-2,0.0,0.0,848.0,0
210000,0,0,0,0,0,0,4002.0,5000.0,3500.0,0
120000,2,2,2,2,2,2,4007.0,0.0,8272.0,0
240000,0,0,0,0,0,-1,5233.0,3289.0,2072.0,0
60000,0,0,0,0,0,0,1488.0,1394.0,962.0,0
150000,-1,-1,-1,-1,-1,2,2091.0,384.0,0.0,1
30000,0,0,0,0,0,0,1774.0,1710.0,1046.0,0
160000,2,2,2,2,2,2,7500.0,0.0,11558.0,1
200000,-2,-2,-2,-2,-2,-2,2690.0,3487.0,0.0,0
120000,0,0,0,-2,-2,-2,6000.0,0.0,0.0,0
500000,1,2,0,0,0,0,325.0,15296.0,12137.0,0
320000,0,0,0,0,0,0,11404.0,8232.0,10450.0,0
280000,0,0,0,0,0,0,10000.0,8000.0,6371.0,0
60000,1,2,2,2,2,2,0.0,2709.0,1600.0,1
200000,-1,-1,-2,-1,-1,-2,0.0,0.0,367.0,0
230000,1,-2,-1,-1,-1,-1,0.0,2809.0,4606.0,0
230000,1,2,0,0,0,0,0.0,1064.0,423.0,1
480000,-2,-2,-2,-2,-2,-2,26734.0,199982.0,9033.0,0
50000,-1,-1,-1,-2,-2,-2,5000.0,0.0,0.0,0
200000,-2,-2,-2,-2,-2,-2,17507.0,1102.0,0.0,0
50000,0,0,0,0,0,2,2000.0,1600.0,1200.0,0
50000,0,0,0,0,0,0,3629.0,3332.0,2000.0,0
260000,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,1
